# M,optimal
9.854927463731865123e-01,6.554454944525995863e+00
9.904952476238119141e-01,6.547244142339522455e+00
9.954977488744372049e-01,6.540041180616309013e+00
1.000500250125062607e+00,6.532846241428925005e+00
1.005502751375687787e+00,6.525659504224196716e+00
1.010505252626313188e+00,6.518481146458801057e+00
1.015507753876938368e+00,6.511311343648848116e+00
1.020510255127563770e+00,6.504150269363715431e+00
1.025512756378189172e+00,6.496998095219911562e+00
1.030515257628814352e+00,6.489854990952490965e+00
1.035517758879439754e+00,6.482721124544852387e+00
1.040520260130064933e+00,6.475596661910455687e+00
1.045522761380690335e+00,6.468481767012946193e+00
1.050525262631315737e+00,6.461376601873153547e+00
1.055527763881940917e+00,6.454281326565868504e+00
1.060530265132566319e+00,6.447196099216577103e+00
1.065532766383191499e+00,6.440121076051771531e+00
1.070535267633816900e+00,6.433056411485766901e+00
1.075537768884442080e+00,6.426002257906596071e+00
1.080540270135067482e+00,6.418958765758677742e+00
1.085542771385692884e+00,6.411926083547986543e+00
1.090545272636318064e+00,6.404904357840560891e+00
1.095547773886943466e+00,6.397893733260941573e+00
1.100550275137568645e+00,6.390894352548558643e+00
1.105552776388194047e+00,6.383906356649611702e+00
1.110555277638819449e+00,6.376929884492501976e+00
1.115557778889444629e+00,6.369965073077895390e+00
1.120560280140070031e+00,6.363012057485711637e+00
1.125562781390695211e+00,6.356070970875299153e+00
1.130565282641320612e+00,6.349141944485556799e+00
1.135567783891946014e+00,6.342225107740463663e+00
1.140570285142571194e+00,6.335320588375596529e+00
1.145572786393196596e+00,6.328428512026576414e+00
1.150575287643821776e+00,6.321549002416517737e+00
1.155577788894447178e+00,6.314682181368851843e+00
1.160580290145072579e+00,6.307828168807969149e+00
1.165582791395697759e+00,6.300987082759723634e+00
1.170585292646323161e+00,6.294159039351839624e+00
1.175587793896948341e+00,6.287344152814181797e+00
1.180590295147573743e+00,6.280542535478915056e+00
1.185592796398199145e+00,6.273754297780534728e+00
1.190595297648824324e+00,6.266979548830287960e+00
1.195597798899449726e+00,6.260218396125893037e+00
1.200600300150074906e+00,6.253470944850448632e+00
1.205602801400700308e+00,6.246737298349289702e+00
1.210605302651325710e+00,6.240017558132771036e+00
1.215607803901950890e+00,6.233311823878872282e+00
1.220610305152576291e+00,6.226620193435643102e+00
1.225612806403201471e+00,6.219942762823522209e+00
1.230615307653826873e+00,6.213279626237495634e+00
1.235617808904452275e+00,6.206630876049110235e+00
1.240620310155077455e+00,6.199996602842212212e+00
1.245622811405702857e+00,6.193376896216823191e+00
1.250625312656328036e+00,6.186771843784458547e+00
1.255627813906953438e+00,6.180181531116612170e+00
1.260630315157578840e+00,6.173606042033639163e+00
1.265632816408204020e+00,6.167045458609329955e+00
1.270635317658829422e+00,6.160499861175355640e+00
1.275637818909454602e+00,6.153969328325511690e+00
1.280640320160080003e+00,6.147453936919842654e+00
1.285642821410705405e+00,6.140953762088535939e+00
1.290645322661330585e+00,6.134468877235708995e+00
1.295647823911955987e+00,6.127999354185513781e+00
1.300650325162581167e+00,6.121545263901880141e+00
1.305652826413206569e+00,6.115106675182976126e+00
1.310655327663831970e+00,6.108683655048705141e+00
1.315657828914457150e+00,6.102276268873625398e+00
1.320660330165082552e+00,6.095884580393141405e+00
1.325662831415707732e+00,6.089508651709490294e+00
1.330665332666333134e+00,6.083148543297578037e+00
1.335667833916958536e+00,6.076804314010612273e+00
1.340670335167583715e+00,6.070476021085566387e+00
1.345672836418209117e+00,6.064163720148451731e+00
1.350675337668834297e+00,6.057867465539291452e+00
1.355677838919459699e+00,6.051587310643157025e+00
1.360680340170085101e+00,6.045323306734680990e+00
1.365682841420710281e+00,6.039075503526186495e+00
1.370685342671335682e+00,6.032843949205326517e+00
1.375687843921960862e+00,6.026628690442570324e+00
1.380690345172586264e+00,6.020429772398485646e+00
1.385692846423211666e+00,6.014247238730858314e+00
1.390695347673836846e+00,6.008081131601602287e+00
1.395697848924462248e+00,6.001931491683490272e+00
1.400700350175087427e+00,5.995798358166736897e+00
1.405702851425712829e+00,5.989681769317903637e+00
1.410705352676338231e+00,5.983581762160263828e+00
1.415707853926963411e+00,5.977498371883662287e+00
1.420710355177588813e+00,5.971431632276137158e+00
1.425712856428213993e+00,5.965381575732636499e+00
1.430715357678839394e+00,5.959348233263513706e+00
1.435717858929464796e+00,5.953331634502852410e+00
1.440720360180089976e+00,5.947331807716587981e+00
1.445722861430715378e+00,5.941348779810438963e+00
1.450725362681340558e+00,5.935382576337658200e+00
1.455727863931965960e+00,5.929433221538671361e+00
1.460730365182591362e+00,5.923500739005296722e+00
1.465732866433216541e+00,5.917585150837572527e+00
1.470735367683841943e+00,5.911686477641555193e+00
1.475737868934467123e+00,5.905804738759266037e+00
1.480740370185092525e+00,5.899939952278133504e+00
1.485742871435717927e+00,5.894092135040263081e+00
1.490745372686343106e+00,5.888261302651510931e+00
1.495747873936968508e+00,5.882447469490347913e+00
1.500750375187593688e+00,5.876650648716569059e+00
1.505752876438219090e+00,5.870870852279782781e+00
1.510755377688844270e+00,5.865108091041668636e+00
1.515757878939469672e+00,5.859362375301351733e+00
1.520760380190095074e+00,5.853633713829137442e+00
1.525762881440720253e+00,5.847922114175688080e+00
1.530765382691345655e+00,5.842227582768966698e+00
1.535767883941970835e+00,5.836550124924188232e+00
1.540770385192596237e+00,5.830889744853571699e+00
1.545772886443221639e+00,5.825246445675900553e+00
1.550775387693846818e+00,5.819620229425929381e+00
1.555777888944472220e+00,5.814011097063570332e+00
1.560780390195097400e+00,5.808419048482926783e+00
1.565782891445722802e+00,5.802844083033224187e+00
1.570785392696348204e+00,5.797286198448721173e+00
1.575787893946973384e+00,5.791745392256311575e+00
1.580790395197598786e+00,5.786221660477573359e+00
1.585792896448223965e+00,5.780714998159670159e+00
1.590795397698849367e+00,5.775225399383997704e+00
1.595797898949474769e+00,5.769752857274843549e+00
1.600800400200099949e+00,5.764297364008077906e+00
1.605802901450725351e+00,5.758858910819887988e+00
1.610805402701350530e+00,5.753437488015542556e+00
1.615807903951975932e+00,5.748033084978458440e+00
1.620810405202601334e+00,5.742645690526697599e+00
1.625812906453226514e+00,5.737275292683944095e+00
1.630815407703851916e+00,5.731921878362154388e+00
1.635817908954477096e+00,5.726585433623680998e+00
1.640820410205102498e+00,5.721265943693284228e+00
1.645822911455727899e+00,5.715963392970326851e+00
1.650825412706353079e+00,5.710677765041099363e+00
1.655827913956978481e+00,5.705409042691307775e+00
1.660830415207603661e+00,5.700157207918711499e+00
1.665832916458229063e+00,5.694922241945929997e+00
1.670835417708854465e+00,5.689704125233384424e+00
1.675837918959479644e+00,5.684502837492416916e+00
1.680840420210105046e+00,5.679318357699044917e+00
1.685842921460730226e+00,5.674150664143446932e+00
1.690845422711355628e+00,5.668999734407177193e+00
1.695847923961981030e+00,5.663865545361703724e+00
1.700850425212606210e+00,5.658748073200750461e+00
1.705852926463231611e+00,5.653647293454675093e+00
1.710855427713856791e+00,5.648563181004999656e+00
1.715857928964482193e+00,5.643495710099154294e+00
1.720860430215107595e+00,5.638444854365361358e+00
1.725862931465732775e+00,5.638406112595233388e+00
1.730865432716358177e+00,5.633395381172221050e+00
