# x, F, dF, ddF, Fline, m, f, df, ddf, fline
4.9325,1.2627,-1.0000,0.0000,-2.8649,6.1656,1.2627,-0.8000,0.0000,-2.8649
4.9375,1.2577,-1.0000,0.0000,-2.8749,6.1718,1.2577,-0.8000,0.0000,-2.8749
4.9425,1.2527,-1.0000,0.0000,-2.8849,6.1781,1.2527,-0.8000,0.0000,-2.8849
4.9475,1.2477,-1.0000,0.0000,-2.8949,6.1843,1.2477,-0.8000,0.0000,-2.8949
4.9525,1.2427,-1.0000,0.0000,-2.9050,6.1906,1.2427,-0.8000,0.0000,-2.9050
4.9575,1.2377,-1.0000,0.0000,-2.9150,6.1968,1.2377,-0.8000,0.0000,-2.9150
4.9625,1.2327,-1.0000,0.0000,-2.9250,6.2031,1.2327,-0.8000,0.0000,-2.9250
4.9675,1.2277,-1.0000,0.0000,-2.9350,6.2094,1.2277,-0.8000,0.0000,-2.9350
4.9725,1.2227,-1.0000,0.0000,-2.9450,6.2156,1.2227,-0.8000,0.0000,-2.9450
4.9775,1.2177,-1.0000,0.0000,-2.9550,6.2219,1.2177,-0.8000,0.0000,-2.9550
4.9825,1.2127,-1.0000,0.0000,-2.9650,6.2281,1.2127,-0.8000,0.0000,-2.9650
4.9875,1.2077,-1.0000,0.0000,-2.9750,6.2344,1.2077,-0.8000,0.0000,-2.9750
4.9925,1.2027,-1.0000,0.0000,-2.9850,6.2406,1.2027,-0.8000,0.0000,-2.9850
4.9975,1.1977,-1.0000,0.0000,-2.9950,6.2469,1.1977,-0.8000,0.0000,-2.9950
5.0025,1.1927,-1.0000,0.0000,-3.0050,6.2531,1.1927,-0.8000,0.0000,-3.0050
5.0075,1.1877,-1.0000,0.0000,-3.0150,6.2594,1.1877,-0.8000,0.0000,-3.0150
5.0125,1.1826,-1.0000,0.0000,-3.0250,6.2656,1.1826,-0.8000,0.0000,-3.0250
5.0175,1.1776,-1.0000,0.0000,-3.0350,6.2719,1.1776,-0.8000,0.0000,-3.0350
5.0225,1.1726,-1.0000,0.0000,-3.0450,6.2781,1.1726,-0.8000,0.0000,-3.0450
5.0275,1.1676,-1.0000,0.0000,-3.0550,6.2844,1.1676,-0.8000,0.0000,-3.0550
5.0325,1.1626,-1.0000,0.0000,-3.0650,6.2906,1.1626,-0.8000,0.0000,-3.0650
5.0375,1.1576,-1.0000,0.0000,-3.0750,6.2969,1.1576,-0.8000,0.0000,-3.0750
5.0425,1.1526,-1.0000,0.0000,-3.0850,6.3032,1.1526,-0.8000,0.0000,-3.0850
5.0475,1.1476,-1.0000,0.0000,-3.0950,6.3094,1.1476,-0.8000,0.0000,-3.0950
5.0525,1.1426,-1.0000,0.0000,-3.1051,6.3157,1.1426,-0.8000,0.0000,-3.1051
5.0575,1.1376,-1.0000,0.0000,-3.1151,6.3219,1.1376,-0.8000,0.0000,-3.1151
5.0625,1.1326,-1.0000,0.0000,-3.1251,6.3282,1.1326,-0.8000,0.0000,-3.1251
5.0675,1.1276,-1.0000,0.0000,-3.1351,6.3344,1.1276,-0.8000,0.0000,-3.1351
5.0725,1.1226,-1.0000,0.0000,-3.1451,6.3407,1.1226,-0.8000,0.0000,-3.1451
5.0775,1.1176,-1.0000,0.0000,-3.1551,6.3469,1.1176,-0.8000,0.0000,-3.1551
5.0825,1.1126,-1.0000,0.0000,-3.1651,6.3532,1.1126,-0.8000,0.0000,-3.1651
5.0875,1.1076,-1.0000,0.0000,-3.1751,6.3594,1.1076,-0.8000,0.0000,-3.1751
5.0925,1.1026,-1.0000,0.0000,-3.1851,6.3657,1.1026,-0.8000,0.0000,-3.1851
5.0975,1.0976,-1.0000,0.0000,-3.1951,6.3719,1.0976,-0.8000,0.0000,-3.1951
5.1026,1.0926,-1.0000,0.0000,-3.2051,6.3782,1.0926,-0.8000,0.0000,-3.2051
5.1076,1.0876,-1.0000,0.0000,-3.2151,6.3844,1.0876,-0.8000,0.0000,-3.2151
5.1126,1.0826,-1.0000,0.0000,-3.2251,6.3907,1.0826,-0.8000,0.0000,-3.2251
5.1176,1.0776,-1.0000,0.0000,-3.2351,6.3969,1.0776,-0.8000,0.0000,-3.2351
5.1226,1.0726,-1.0000,0.0000,-3.2451,6.4032,1.0726,-0.8000,0.0000,-3.2451
5.1276,1.0676,-1.0000,0.0000,-3.2551,6.4095,1.0676,-0.8000,0.0000,-3.2551
5.1326,1.0626,-1.0000,0.0000,-3.2651,6.4157,1.0626,-0.8000,0.0000,-3.2651
5.1376,1.0576,-1.0000,0.0000,-3.2751,6.4220,1.0576,-0.8000,0.0000,-3.2751
5.1426,1.0526,-1.0000,0.0000,-3.2851,6.4282,1.0526,-0.8000,0.0000,-3.2851
5.1476,1.0476,-1.0000,0.0000,-3.2951,6.4345,1.0476,-0.8000,0.0000,-3.2951
5.1526,1.0426,-1.0000,0.0000,-3.3052,6.4407,1.0426,-0.8000,0.0000,-3.3052
5.1576,1.0376,-1.0000,0.0000,-3.3152,6.4470,1.0376,-0.8000,0.0000,-3.3152
5.1626,1.0326,-1.0000,0.0000,-3.3252,6.4532,1.0326,-0.8000,0.0000,-3.3252
5.1676,1.0276,-1.0000,0.0000,-3.3352,6.4595,1.0276,-0.8000,0.0000,-3.3352
5.1726,1.0226,-1.0000,0.0000,-3.3452,6.4657,1.0226,-0.8000,0.0000,-3.3452
5.1776,1.0176,-1.0000,0.0000,-3.3552,6.4720,1.0176,-0.8000,0.0000,-3.3552
5.1826,1.0126,-1.0000,0.0000,-3.3652,6.4782,1.0126,-0.8000,0.0000,-3.3652
5.1876,1.0076,-1.0000,0.0000,-3.3752,6.4845,1.0076,-0.8000,0.0000,-3.3752
5.1926,1.0026,-1.0000,0.0000,-3.3852,6.4907,1.0026,-0.8000,0.0000,-3.3852
5.1976,0.9976,-1.0000,0.0000,-3.3952,6.4970,0.9976,-0.8000,0.0000,-3.3952
5.2026,0.9926,-1.0000,0.0000,-3.4052,6.5033,0.9926,-0.8000,0.0000,-3.4052
5.2076,0.9876,-1.0000,0.0000,-3.4152,6.5095,0.9876,-0.8000,0.0000,-3.4152
5.2126,0.9825,-1.0000,0.0000,-3.4252,6.5158,0.9825,-0.8000,0.0000,-3.4252
