# x, F, dF, ddF, Fline, m, f, df, ddf, fline
5.8979,0.2972,-1.0000,0.0000,-4.7959,7.3724,0.2972,-0.8000,0.0000,-4.7959
5.9030,0.2922,-1.0000,0.0000,-4.8059,7.3787,0.2922,-0.8000,0.0000,-4.8059
5.9080,0.2872,-1.0000,0.0000,-4.8159,7.3849,0.2872,-0.8000,0.0000,-4.8159
5.9130,0.2822,-1.0000,0.0000,-4.8259,7.3912,0.2822,-0.8000,0.0000,-4.8259
5.9180,0.2772,-1.0000,0.0000,-4.8359,7.3974,0.2772,-0.8000,0.0000,-4.8359
5.9230,0.2722,-1.0000,0.0000,-4.8459,7.4037,0.2722,-0.8000,0.0000,-4.8459
5.9280,0.2672,-1.0000,0.0000,-4.8559,7.4100,0.2672,-0.8000,0.0000,-4.8559
5.9330,0.2622,-1.0000,0.0000,-4.8659,7.4162,0.2622,-0.8000,0.0000,-4.8659
5.9380,0.2572,-1.0000,0.0000,-4.8759,7.4225,0.2572,-0.8000,0.0000,-4.8759
5.9430,0.2522,-1.0000,0.0000,-4.8859,7.4287,0.2522,-0.8000,0.0000,-4.8859
5.9480,0.2472,-1.0000,0.0000,-4.8959,7.4350,0.2472,-0.8000,0.0000,-4.8959
5.9530,0.2422,-1.0000,0.0000,-4.9060,7.4412,0.2422,-0.8000,0.0000,-4.9060
5.9580,0.2372,-1.0000,0.0000,-4.9160,7.4475,0.2372,-0.8000,0.0000,-4.9160
5.9630,0.2322,-1.0000,0.0000,-4.9260,7.4537,0.2322,-0.8000,0.0000,-4.9260
5.9680,0.2272,-1.0000,0.0000,-4.9360,7.4600,0.2272,-0.8000,0.0000,-4.9360
5.9730,0.2222,-1.0000,0.0000,-4.9460,7.4662,0.2222,-0.8000,0.0000,-4.9460
5.9780,0.2172,-1.0000,0.0000,-4.9560,7.4725,0.2172,-0.8000,0.0000,-4.9560
5.9830,0.2122,-1.0000,0.0000,-4.9660,7.4787,0.2122,-0.8000,0.0000,-4.9660
5.9880,0.2072,-1.0000,0.0000,-4.9760,7.4850,0.2072,-0.8000,0.0000,-4.9760
5.9930,0.2022,-1.0000,0.0000,-4.9860,7.4912,0.2022,-0.8000,0.0000,-4.9860
5.9980,0.1972,-1.0000,0.0000,-4.9960,7.4975,0.1972,-0.8000,0.0000,-4.9960
6.0030,0.1922,-1.0000,0.0000,-5.0060,7.5038,0.1922,-0.8000,0.0000,-5.0060
6.0080,0.1872,-1.0000,0.0000,-5.0160,7.5100,0.1872,-0.8000,0.0000,-5.0160
6.0130,0.1821,-1.0000,0.0000,-5.0260,7.5163,0.1821,-0.8000,0.0000,-5.0260
6.0180,0.1771,-1.0000,0.0000,-5.0360,7.5225,0.1771,-0.8000,0.0000,-5.0360
6.0230,0.1721,-1.0000,0.0000,-5.0460,7.5288,0.1721,-0.8000,0.0000,-5.0460
6.0280,0.1671,-1.0000,0.0000,-5.0560,7.5350,0.1671,-0.8000,0.0000,-5.0560
6.0330,0.1621,-1.0000,0.0000,-5.0660,7.5413,0.1621,-0.8000,0.0000,-5.0660
6.0380,0.1571,-1.0000,0.0000,-5.0760,7.5475,0.1571,-0.8000,0.0000,-5.0760
6.0430,0.1521,-1.0000,0.0000,-5.0860,7.5538,0.1521,-0.8000,0.0000,-5.0860
6.0480,0.1471,-1.0000,0.0000,-5.0960,7.5600,0.1471,-0.8000,0.0000,-5.0960
6.0530,0.1421,-1.0000,0.0000,-5.1061,7.5663,0.1421,-0.8000,0.0000,-5.1061
6.0580,0.1371,-1.0000,0.0000,-5.1161,7.5725,0.1371,-0.8000,0.0000,-5.1161
6.0630,0.1321,-1.0000,0.0000,-5.1261,7.5788,0.1321,-0.8000,0.0000,-5.1261
6.0680,0.1271,-1.0000,0.0000,-5.1361,7.5850,0.1271,-0.8000,0.0000,-5.1361
6.0730,0.1221,-1.0000,0.0000,-5.1461,7.5913,0.1221,-0.8000,0.0000,-5.1461
6.0780,0.1171,-1.0000,0.0000,-5.1561,7.5975,0.1171,-0.8000,0.0000,-5.1561
6.0830,0.1121,-1.0000,0.0000,-5.1661,7.6038,0.1121,-0.8000,0.0000,-5.1661
6.0880,0.1071,-1.0000,0.0000,-5.1761,7.6101,0.1071,-0.8000,0.0000,-5.1761
6.0930,0.1021,-1.0000,0.0000,-5.1861,7.6163,0.1021,-0.8000,0.0000,-5.1861
6.0980,0.0971,-1.0000,0.0000,-5.1961,7.6226,0.0971,-0.8000,0.0000,-5.1961
6.1031,0.0921,-1.0000,0.0000,-5.2061,7.6288,0.0921,-0.8000,0.0000,-5.2061
6.1081,0.0871,-1.0000,0.0000,-5.2161,7.6351,0.0871,-0.8000,0.0000,-5.2161
6.1131,0.0821,-1.0000,0.0000,-5.2261,7.6413,0.0821,-0.8000,0.0000,-5.2261
6.1181,0.0771,-1.0000,0.0000,-5.2361,7.6476,0.0771,-0.8000,0.0000,-5.2361
6.1231,0.0721,-1.0000,0.0000,-5.2461,7.6538,0.0721,-0.8000,0.0000,-5.2461
6.1281,0.0671,-1.0000,0.0000,-5.2561,7.6601,0.0671,-0.8000,0.0000,-5.2561
6.1331,0.0621,-1.0000,0.0000,-5.2661,7.6663,0.0621,-0.8000,0.0000,-5.2661
6.1381,0.0571,-1.0000,0.0000,-5.2761,7.6726,0.0571,-0.8000,0.0000,-5.2761
6.1431,0.0521,-1.0000,0.0000,-5.2861,7.6788,0.0521,-0.8000,0.0000,-5.2861
6.1481,0.0471,-1.0000,0.0000,-5.2961,7.6851,0.0471,-0.8000,0.0000,-5.2961
6.1531,0.0421,-1.0000,0.0000,-5.3062,7.6913,0.0421,-0.8000,0.0000,-5.3062
6.1581,0.0371,-1.0000,0.0000,-5.3162,7.6976,0.0371,-0.8000,0.0000,-5.3162
6.1631,0.0321,-1.0000,0.0000,-5.3262,7.7039,0.0321,-0.8000,0.0000,-5.3262
6.1681,0.0271,-1.0000,0.0000,-5.3362,7.7101,0.0271,-0.8000,0.0000,-5.3362
6.1731,0.0221,-1.0000,0.0000,-5.3462,7.7164,0.0221,-0.8000,0.0000,-5.3462
6.1781,0.0171,-1.0000,0.0000,-5.3562,7.7226,0.0171,-0.8000,0.0000,-5.3562
6.1831,0.0121,-1.0000,0.0000,-5.3662,7.7289,0.0121,-0.8000,0.0000,-5.3662
6.1881,0.0071,-1.0000,0.0000,-5.3762,7.7351,0.0071,-0.8000,0.0000,-5.3762
6.1931,0.0021,-1.0000,0.0000,-5.3862,7.7414,0.0021,-0.8000,0.0000,-5.3862
6.1981,-0.0029,-1.0000,0.0000,-5.3962,7.7476,-0.0029,-0.8000,0.0000,-5.3962
6.2031,-0.0079,-1.0000,0.0000,-5.4062,7.7539,-0.0079,-0.8000,0.0000,-5.4062
6.2081,-0.0129,-1.0000,0.0000,-5.4162,7.7601,-0.0129,-0.8000,0.0000,-5.4162
6.2131,-0.0180,-1.0000,0.0000,-5.4262,7.7664,-0.0180,-0.8000,0.0000,-5.4262
6.2181,-0.0230,-1.0000,0.0000,-5.4362,7.7726,-0.0230,-0.8000,0.0000,-5.4362
6.2231,-0.0280,-1.0000,0.0000,-5.4462,7.7789,-0.0280,-0.8000,0.0000,-5.4462
6.2281,-0.0330,-1.0000,0.0000,-5.4562,7.7851,-0.0330,-0.8000,0.0000,-5.4562
6.2331,-0.0380,-1.0000,0.0000,-5.4662,7.7914,-0.0380,-0.8000,0.0000,-5.4662
6.2381,-0.0430,-1.0000,0.0000,-5.4762,7.7976,-0.0430,-0.8000,0.0000,-5.4762
6.2431,-0.0480,-1.0000,0.0000,-5.4862,7.8039,-0.0480,-0.8000,0.0000,-5.4862
6.2481,-0.0530,-1.0000,0.0000,-5.4962,7.8102,-0.0530,-0.8000,0.0000,-5.4962
6.2531,-0.0580,-1.0000,0.0000,-5.5063,7.8164,-0.0580,-0.8000,0.0000,-5.5063
6.2581,-0.0630,-1.0000,0.0000,-5.5163,7.8227,-0.0630,-0.8000,0.0000,-5.5163
6.2631,-0.0680,-1.0000,0.0000,-5.5263,7.8289,-0.0680,-0.8000,0.0000,-5.5263
6.2681,-0.0730,-1.0000,0.0000,-5.5363,7.8352,-0.0730,-0.8000,0.0000,-5.5363
6.2731,-0.0780,-1.0000,0.0000,-5.5463,7.8414,-0.0780,-0.8000,0.0000,-5.5463
6.2781,-0.0830,-1.0000,0.0000,-5.5563,7.8477,-0.0830,-0.8000,0.0000,-5.5563
6.2831,-0.0880,-1.0000,0.0000,-5.5663,7.8539,-0.0880,-0.8000,0.0000,-5.5663
6.2881,-0.0930,-1.0000,0.0000,-5.5763,7.8602,-0.0930,-0.8000,0.0000,-5.5763
6.2931,-0.0980,-1.0000,0.0000,-5.5863,7.8664,-0.0980,-0.8000,0.0000,-5.5863
6.2981,-0.1030,-1.0000,0.0000,-5.5963,7.8727,-0.1030,-0.8000,0.0000,-5.5963
6.3032,-0.1080,-1.0000,0.0000,-5.6063,7.8789,-0.1080,-0.8000,0.0000,-5.6063
6.3082,-0.1130,-1.0000,0.0000,-5.6163,7.8852,-0.1130,-0.8000,0.0000,-5.6163
6.3132,-0.1180,-1.0000,0.0000,-5.6263,7.8914,-0.1180,-0.8000,0.0000,-5.6263
6.3182,-0.1230,-1.0000,0.0000,-5.6363,7.8977,-0.1230,-0.8000,0.0000,-5.6363
6.3232,-0.1280,-1.0000,0.0000,-5.6463,7.9040,-0.1280,-0.8000,0.0000,-5.6463
6.3282,-0.1330,-1.0000,0.0000,-5.6563,7.9102,-0.1330,-0.8000,0.0000,-5.6563
6.3332,-0.1380,-1.0000,0.0000,-5.6663,7.9165,-0.1380,-0.8000,0.0000,-5.6663
6.3382,-0.1430,-1.0000,0.0000,-5.6763,7.9227,-0.1430,-0.8000,0.0000,-5.6763
6.3432,-0.1480,-1.0000,0.0000,-5.6863,7.9290,-0.1480,-0.8000,0.0000,-5.6863
6.3482,-0.1530,-1.0000,0.0000,-5.6963,7.9352,-0.1530,-0.8000,0.0000,-5.6963
6.3532,-0.1580,-1.0000,0.0000,-5.7064,7.9415,-0.1580,-0.8000,0.0000,-5.7064
6.3582,-0.1630,-1.0000,0.0000,-5.7164,7.9477,-0.1630,-0.8000,0.0000,-5.7164
6.3632,-0.1680,-1.0000,0.0000,-5.7264,7.9540,-0.1680,-0.8000,0.0000,-5.7264
6.3682,-0.1730,-1.0000,0.0000,-5.7364,7.9602,-0.1730,-0.8000,0.0000,-5.7364
6.3732,-0.1780,-1.0000,0.0000,-5.7464,7.9665,-0.1780,-0.8000,0.0000,-5.7464
6.3782,-0.1830,-1.0000,0.0000,-5.7564,7.9727,-0.1830,-0.8000,0.0000,-5.7564
6.3832,-0.1880,-1.0000,0.0000,-5.7664,7.9790,-0.1880,-0.8000,0.0000,-5.7664
6.3882,-0.1930,-1.0000,0.0000,-5.7764,7.9852,-0.1930,-0.8000,0.0000,-5.7764
6.3932,-0.1980,-1.0000,0.0000,-5.7864,7.9915,-0.1980,-0.8000,0.0000,-5.7864
6.3982,-0.2030,-1.0000,0.0000,-5.7964,7.9977,-0.2030,-0.8000,0.0000,-5.7964
6.4032,-0.2080,-1.0000,0.0000,-5.8064,8.0040,-0.2080,-0.8000,0.0000,-5.8064
6.4082,-0.2130,-1.0000,0.0000,-5.8164,8.0103,-0.2130,-0.8000,0.0000,-5.8164
6.4132,-0.2181,-1.0000,0.0000,-5.8264,8.0165,-0.2181,-0.8000,0.0000,-5.8264
6.4182,-0.2231,-1.0000,0.0000,-5.8364,8.0228,-0.2231,-0.8000,0.0000,-5.8364
6.4232,-0.2281,-1.0000,0.0000,-5.8464,8.0290,-0.2281,-0.8000,0.0000,-5.8464
6.4282,-0.2331,-1.0000,0.0000,-5.8564,8.0353,-0.2331,-0.8000,0.0000,-5.8564
6.4332,-0.2381,-1.0000,0.0000,-5.8664,8.0415,-0.2381,-0.8000,0.0000,-5.8664
6.4382,-0.2431,-1.0000,0.0000,-5.8764,8.0478,-0.2431,-0.8000,0.0000,-5.8764
6.4432,-0.2481,-1.0000,0.0000,-5.8864,8.0540,-0.2481,-0.8000,0.0000,-5.8864
6.4482,-0.2531,-1.0000,0.0000,-5.8964,8.0603,-0.2531,-0.8000,0.0000,-5.8964
6.4532,-0.2581,-1.0000,0.0000,-5.9065,8.0665,-0.2581,-0.8000,0.0000,-5.9065
6.4582,-0.2631,-1.0000,0.0000,-5.9165,8.0728,-0.2631,-0.8000,0.0000,-5.9165
6.4632,-0.2681,-1.0000,0.0000,-5.9265,8.0790,-0.2681,-0.8000,0.0000,-5.9265
6.4682,-0.2731,-1.0000,0.0000,-5.9365,8.0853,-0.2731,-0.8000,0.0000,-5.9365
6.4732,-0.2781,-1.0000,0.0000,-5.9465,8.0915,-0.2781,-0.8000,0.0000,-5.9465
6.4782,-0.2831,-1.0000,0.0000,-5.9565,8.0978,-0.2831,-0.8000,0.0000,-5.9565
6.4832,-0.2881,-1.0000,0.0000,-5.9665,8.1041,-0.2881,-0.8000,0.0000,-5.9665
6.4882,-0.2931,-1.0000,0.0000,-5.9765,8.1103,-0.2931,-0.8000,0.0000,-5.9765
6.4932,-0.2981,-1.0000,0.0000,-5.9865,8.1166,-0.2981,-0.8000,0.0000,-5.9865
6.4982,-0.3031,-1.0000,0.0000,-5.9965,8.1228,-0.3031,-0.8000,0.0000,-5.9965
6.5033,-0.3081,-1.0000,0.0000,-6.0065,8.1291,-0.3081,-0.8000,0.0000,-6.0065
6.5083,-0.3131,-1.0000,0.0000,-6.0165,8.1353,-0.3131,-0.8000,0.0000,-6.0165
6.5133,-0.3181,-1.0000,0.0000,-6.0265,8.1416,-0.3181,-0.8000,0.0000,-6.0265
6.5183,-0.3231,-1.0000,0.0000,-6.0365,8.1478,-0.3231,-0.8000,0.0000,-6.0365
6.5233,-0.3281,-1.0000,0.0000,-6.0465,8.1541,-0.3281,-0.8000,0.0000,-6.0465
6.5283,-0.3331,-1.0000,0.0000,-6.0565,8.1603,-0.3331,-0.8000,0.0000,-6.0565
6.5333,-0.3381,-1.0000,0.0000,-6.0665,8.1666,-0.3381,-0.8000,0.0000,-6.0665
6.5383,-0.3431,-1.0000,0.0000,-6.0765,8.1728,-0.3431,-0.8000,0.0000,-6.0765
6.5433,-0.3481,-1.0000,0.0000,-6.0865,8.1791,-0.3481,-0.8000,0.0000,-6.0865
6.5483,-0.3531,-1.0000,0.0000,-6.0965,8.1853,-0.3531,-0.8000,0.0000,-6.0965
6.5533,-0.3581,-1.0000,0.0000,-6.1066,8.1916,-0.3581,-0.8000,0.0000,-6.1066
6.5583,-0.3631,-1.0000,0.0000,-6.1166,8.1978,-0.3631,-0.8000,0.0000,-6.1166
6.5633,-0.3681,-1.0000,0.0000,-6.1266,8.2041,-0.3681,-0.8000,0.0000,-6.1266
6.5683,-0.3731,-1.0000,0.0000,-6.1366,8.2104,-0.3731,-0.8000,0.0000,-6.1366
6.5733,-0.3781,-1.0000,0.0000,-6.1466,8.2166,-0.3781,-0.8000,0.0000,-6.1466
6.5783,-0.3831,-1.0000,0.0000,-6.1566,8.2229,-0.3831,-0.8000,0.0000,-6.1566
6.5833,-0.3881,-1.0000,0.0000,-6.1666,8.2291,-0.3881,-0.8000,0.0000,-6.1666
6.5883,-0.3931,-1.0000,0.0000,-6.1766,8.2354,-0.3931,-0.8000,0.0000,-6.1766
6.5933,-0.3981,-1.0000,0.0000,-6.1866,8.2416,-0.3981,-0.8000,0.0000,-6.1866
6.5983,-0.4031,-1.0000,0.0000,-6.1966,8.2479,-0.4031,-0.8000,0.0000,-6.1966
6.6033,-0.4081,-1.0000,0.0000,-6.2066,8.2541,-0.4081,-0.8000,0.0000,-6.2066
6.6083,-0.4131,-1.0000,0.0000,-6.2166,8.2604,-0.4131,-0.8000,0.0000,-6.2166
6.6133,-0.4182,-1.0000,0.0000,-6.2266,8.2666,-0.4182,-0.8000,0.0000,-6.2266
6.6183,-0.4232,-1.0000,0.0000,-6.2366,8.2729,-0.4232,-0.8000,0.0000,-6.2366
6.6233,-0.4282,-1.0000,0.0000,-6.2466,8.2791,-0.4282,-0.8000,0.0000,-6.2466
6.6283,-0.4332,-1.0000,0.0000,-6.2566,8.2854,-0.4332,-0.8000,0.0000,-6.2566
6.6333,-0.4382,-1.0000,0.0000,-6.2666,8.2916,-0.4382,-0.8000,0.0000,-6.2666
6.6383,-0.4432,-1.0000,0.0000,-6.2766,8.2979,-0.4432,-0.8000,0.0000,-6.2766
6.6433,-0.4482,-1.0000,0.0000,-6.2866,8.3042,-0.4482,-0.8000,0.0000,-6.2866
6.6483,-0.4532,-1.0000,0.0000,-6.2966,8.3104,-0.4532,-0.8000,0.0000,-6.2966
6.6533,-0.4582,-1.0000,0.0000,-6.3067,8.3167,-0.4582,-0.8000,0.0000,-6.3067
6.6583,-0.4632,-1.0000,0.0000,-6.3167,8.3229,-0.4632,-0.8000,0.0000,-6.3167
6.6633,-0.4682,-1.0000,0.0000,-6.3267,8.3292,-0.4682,-0.8000,0.0000,-6.3267
6.6683,-0.4732,-1.0000,0.0000,-6.3367,8.3354,-0.4732,-0.8000,0.0000,-6.3367
6.6733,-0.4782,-1.0000,0.0000,-6.3467,8.3417,-0.4782,-0.8000,0.0000,-6.3467
6.6783,-0.4832,-1.0000,0.0000,-6.3567,8.3479,-0.4832,-0.8000,0.0000,-6.3567
6.6833,-0.4882,-1.0000,0.0000,-6.3667,8.3542,-0.4882,-0.8000,0.0000,-6.3667
6.6883,-0.4932,-1.0000,0.0000,-6.3767,8.3604,-0.4932,-0.8000,0.0000,-6.3767
6.6933,-0.4982,-1.0000,0.0000,-6.3867,8.3667,-0.4982,-0.8000,0.0000,-6.3867
6.6983,-0.5032,-1.0000,0.0000,-6.3967,8.3729,-0.5032,-0.8000,0.0000,-6.3967
6.7034,-0.5082,-1.0000,0.0000,-6.4067,8.3792,-0.5082,-0.8000,0.0000,-6.4067
6.7084,-0.5132,-1.0000,0.0000,-6.4167,8.3854,-0.5132,-0.8000,0.0000,-6.4167
6.7134,-0.5182,-1.0000,0.0000,-6.4267,8.3917,-0.5182,-0.8000,0.0000,-6.4267
6.7184,-0.5232,-1.0000,0.0000,-6.4367,8.3979,-0.5232,-0.8000,0.0000,-6.4367
6.7234,-0.5282,-1.0000,0.0000,-6.4467,8.4042,-0.5282,-0.8000,0.0000,-6.4467
6.7284,-0.5332,-1.0000,0.0000,-6.4567,8.4105,-0.5332,-0.8000,0.0000,-6.4567
6.7334,-0.5382,-1.0000,0.0000,-6.4667,8.4167,-0.5382,-0.8000,0.0000,-6.4667
6.7384,-0.5432,-1.0000,0.0000,-6.4767,8.4230,-0.5432,-0.8000,0.0000,-6.4767
6.7434,-0.5482,-1.0000,0.0000,-6.4867,8.4292,-0.5482,-0.8000,0.0000,-6.4867
6.7484,-0.5532,-1.0000,0.0000,-6.4967,8.4355,-0.5532,-0.8000,0.0000,-6.4967
6.7534,-0.5582,-1.0000,0.0000,-6.5068,8.4417,-0.5582,-0.8000,0.0000,-6.5068
6.7584,-0.5632,-1.0000,0.0000,-6.5168,8.4480,-0.5632,-0.8000,0.0000,-6.5168
6.7634,-0.5682,-1.0000,0.0000,-6.5268,8.4542,-0.5682,-0.8000,0.0000,-6.5268
6.7684,-0.5732,-1.0000,0.0000,-6.5368,8.4605,-0.5732,-0.8000,0.0000,-6.5368
6.7734,-0.5782,-1.0000,0.0000,-6.5468,8.4667,-0.5782,-0.8000,0.0000,-6.5468
6.7784,-0.5832,-1.0000,0.0000,-6.5568,8.4730,-0.5832,-0.8000,0.0000,-6.5568
6.7834,-0.5882,-1.0000,0.0000,-6.5668,8.4792,-0.5882,-0.8000,0.0000,-6.5668
6.7884,-0.5932,-1.0000,0.0000,-6.5768,8.4855,-0.5932,-0.8000,0.0000,-6.5768
6.7934,-0.5982,-1.0000,0.0000,-6.5868,8.4917,-0.5982,-0.8000,0.0000,-6.5868
6.7984,-0.6032,-1.0000,0.0000,-6.5968,8.4980,-0.6032,-0.8000,0.0000,-6.5968
6.8034,-0.6082,-1.0000,0.0000,-6.6068,8.5043,-0.6082,-0.8000,0.0000,-6.6068
6.8084,-0.6132,-1.0000,0.0000,-6.6168,8.5105,-0.6132,-0.8000,0.0000,-6.6168
6.8134,-0.6183,-1.0000,0.0000,-6.6268,8.5168,-0.6183,-0.8000,0.0000,-6.6268
6.8184,-0.6233,-1.0000,0.0000,-6.6368,8.5230,-0.6233,-0.8000,0.0000,-6.6368
6.8234,-0.6283,-1.0000,0.0000,-6.6468,8.5293,-0.6283,-0.8000,0.0000,-6.6468
6.8284,-0.6333,-1.0000,0.0000,-6.6568,8.5355,-0.6333,-0.8000,0.0000,-6.6568
6.8334,-0.6383,-1.0000,0.0000,-6.6668,8.5418,-0.6383,-0.8000,0.0000,-6.6668
6.8384,-0.6433,-1.0000,0.0000,-6.6768,8.5480,-0.6433,-0.8000,0.0000,-6.6768
6.8434,-0.6483,-1.0000,0.0000,-6.6868,8.5543,-0.6483,-0.8000,0.0000,-6.6868
6.8484,-0.6533,-1.0000,0.0000,-6.6968,8.5605,-0.6533,-0.8000,0.0000,-6.6968
6.8534,-0.6583,-1.0000,0.0000,-6.7069,8.5668,-0.6583,-0.8000,0.0000,-6.7069
6.8584,-0.6633,-1.0000,0.0000,-6.7169,8.5730,-0.6633,-0.8000,0.0000,-6.7169
6.8634,-0.6683,-1.0000,0.0000,-6.7269,8.5793,-0.6683,-0.8000,0.0000,-6.7269
6.8684,-0.6733,-1.0000,0.0000,-6.7369,8.5855,-0.6733,-0.8000,0.0000,-6.7369
6.8734,-0.6783,-1.0000,0.0000,-6.7469,8.5918,-0.6783,-0.8000,0.0000,-6.7469
6.8784,-0.6833,-1.0000,0.0000,-6.7569,8.5980,-0.6833,-0.8000,0.0000,-6.7569
6.8834,-0.6883,-1.0000,0.0000,-6.7669,8.6043,-0.6883,-0.8000,0.0000,-6.7669
6.8884,-0.6933,-1.0000,0.0000,-6.7769,8.6106,-0.6933,-0.8000,0.0000,-6.7769
6.8934,-0.6983,-1.0000,0.0000,-6.7869,8.6168,-0.6983,-0.8000,0.0000,-6.7869
6.8984,-0.7033,-1.0000,0.0000,-6.7969,8.6231,-0.7033,-0.8000,0.0000,-6.7969
6.9035,-0.7083,-1.0000,0.0000,-6.8069,8.6293,-0.7083,-0.8000,0.0000,-6.8069
6.9085,-0.7133,-1.0000,0.0000,-6.8169,8.6356,-0.7133,-0.8000,0.0000,-6.8169
6.9135,-0.7183,-1.0000,0.0000,-6.8269,8.6418,-0.7183,-0.8000,0.0000,-6.8269
6.9185,-0.7233,-1.0000,0.0000,-6.8369,8.6481,-0.7233,-0.8000,0.0000,-6.8369
6.9235,-0.7283,-1.0000,0.0000,-6.8469,8.6543,-0.7283,-0.8000,0.0000,-6.8469
6.9285,-0.7333,-1.0000,0.0000,-6.8569,8.6606,-0.7333,-0.8000,0.0000,-6.8569
6.9335,-0.7383,-1.0000,0.0000,-6.8669,8.6668,-0.7383,-0.8000,0.0000,-6.8669
6.9385,-0.7433,-1.0000,0.0000,-6.8769,8.6731,-0.7433,-0.8000,0.0000,-6.8769
6.9435,-0.7483,-1.0000,0.0000,-6.8869,8.6793,-0.7483,-0.8000,0.0000,-6.8869
6.9485,-0.7533,-1.0000,0.0000,-6.8969,8.6856,-0.7533,-0.8000,0.0000,-6.8969
6.9535,-0.7583,-1.0000,0.0000,-6.9070,8.6918,-0.7583,-0.8000,0.0000,-6.9070
6.9585,-0.7633,-1.0000,0.0000,-6.9170,8.6981,-0.7633,-0.8000,0.0000,-6.9170
6.9635,-0.7683,-1.0000,0.0000,-6.9270,8.7044,-0.7683,-0.8000,0.0000,-6.9270
6.9685,-0.7733,-1.0000,0.0000,-6.9370,8.7106,-0.7733,-0.8000,0.0000,-6.9370
6.9735,-0.7783,-1.0000,0.0000,-6.9470,8.7169,-0.7783,-0.8000,0.0000,-6.9470
6.9785,-0.7833,-1.0000,0.0000,-6.9570,8.7231,-0.7833,-0.8000,0.0000,-6.9570
6.9835,-0.7883,-1.0000,0.0000,-6.9670,8.7294,-0.7883,-0.8000,0.0000,-6.9670
6.9885,-0.7933,-1.0000,0.0000,-6.9770,8.7356,-0.7933,-0.8000,0.0000,-6.9770
6.9935,-0.7983,-1.0000,0.0000,-6.9870,8.7419,-0.7983,-0.8000,0.0000,-6.9870
6.9985,-0.8033,-1.0000,0.0000,-6.9970,8.7481,-0.8033,-0.8000,0.0000,-6.9970
7.0035,-0.8083,-1.0000,0.0000,-7.0070,8.7544,-0.8083,-0.8000,0.0000,-7.0070
7.0085,-0.8133,-1.0000,0.0000,-7.0170,8.7606,-0.8133,-0.8000,0.0000,-7.0170
7.0135,-0.8184,-1.0000,0.0000,-7.0270,8.7669,-0.8184,-0.8000,0.0000,-7.0270
7.0185,-0.8234,-1.0000,0.0000,-7.0370,8.7731,-0.8234,-0.8000,0.0000,-7.0370
7.0235,-0.8284,-1.0000,0.0000,-7.0470,8.7794,-0.8284,-0.8000,0.0000,-7.0470
7.0285,-0.8334,-1.0000,0.0000,-7.0570,8.7856,-0.8334,-0.8000,0.0000,-7.0570
7.0335,-0.8384,-1.0000,0.0000,-7.0670,8.7919,-0.8384,-0.8000,0.0000,-7.0670
7.0385,-0.8434,-1.0000,0.0000,-7.0770,8.7981,-0.8434,-0.8000,0.0000,-7.0770
7.0435,-0.8484,-1.0000,0.0000,-7.0870,8.8044,-0.8484,-0.8000,0.0000,-7.0870
7.0485,-0.8534,-1.0000,0.0000,-7.0970,8.8107,-0.8534,-0.8000,0.0000,-7.0970
7.0535,-0.8584,-1.0000,0.0000,-7.1071,8.8169,-0.8584,-0.8000,0.0000,-7.1071
7.0585,-0.8634,-1.0000,0.0000,-7.1171,8.8232,-0.8634,-0.8000,0.0000,-7.1171
7.0635,-0.8684,-1.0000,0.0000,-7.1271,8.8294,-0.8684,-0.8000,0.0000,-7.1271
7.0685,-0.8734,-1.0000,0.0000,-7.1371,8.8357,-0.8734,-0.8000,0.0000,-7.1371
7.0735,-0.8784,-1.0000,0.0000,-7.1471,8.8419,-0.8784,-0.8000,0.0000,-7.1471
7.0785,-0.8834,-1.0000,0.0000,-7.1571,8.8482,-0.8834,-0.8000,0.0000,-7.1571
7.0835,-0.8884,-1.0000,0.0000,-7.1671,8.8544,-0.8884,-0.8000,0.0000,-7.1671
7.0885,-0.8934,-1.0000,0.0000,-7.1771,8.8607,-0.8934,-0.8000,0.0000,-7.1771
7.0935,-0.8984,-1.0000,0.0000,-7.1871,8.8669,-0.8984,-0.8000,0.0000,-7.1871
7.0985,-0.9034,-1.0000,0.0000,-7.1971,8.8732,-0.9034,-0.8000,0.0000,-7.1971
7.1036,-0.9084,-1.0000,0.0000,-7.2071,8.8794,-0.9084,-0.8000,0.0000,-7.2071
7.1086,-0.9134,-1.0000,0.0000,-7.2171,8.8857,-0.9134,-0.8000,0.0000,-7.2171
7.1136,-0.9184,-1.0000,0.0000,-7.2271,8.8919,-0.9184,-0.8000,0.0000,-7.2271
7.1186,-0.9234,-1.0000,0.0000,-7.2371,8.8982,-0.9234,-0.8000,0.0000,-7.2371
7.1236,-0.9284,-1.0000,0.0000,-7.2471,8.9045,-0.9284,-0.8000,0.0000,-7.2471
7.1286,-0.9334,-1.0000,0.0000,-7.2571,8.9107,-0.9334,-0.8000,0.0000,-7.2571
7.1336,-0.9384,-1.0000,0.0000,-7.2671,8.9170,-0.9384,-0.8000,0.0000,-7.2671
7.1386,-0.9434,-1.0000,0.0000,-7.2771,8.9232,-0.9434,-0.8000,0.0000,-7.2771
7.1436,-0.9484,-1.0000,0.0000,-7.2871,8.9295,-0.9484,-0.8000,0.0000,-7.2871
7.1486,-0.9534,-1.0000,0.0000,-7.2971,8.9357,-0.9534,-0.8000,0.0000,-7.2971
