# M,mandate
0.000000000000000000e+00,-4.980604722328495620e-35
1.000500250125062503e-02,2.879340364246986417e-02
2.001000500250125005e-02,5.722134117697166150e-02
3.001500750375187682e-02,8.527888986004864003e-02
4.002001000500250011e-02,1.129613305995327138e-01
5.002501250625312340e-02,1.402641520197416281e-01
6.003001500750375363e-02,1.671830542605159398e-01
7.003501750875437692e-02,1.937139525042764487e-01
8.004002001000500022e-02,2.198529802258300525e-01
9.004502251125562351e-02,2.455964921602098727e-01
1.000500250125062468e-01,2.709410669844034558e-01
1.100550275137568701e-01,2.958835097094002498e-01
1.200600300150075073e-01,3.204208537795721901e-01
1.300650325162581167e-01,3.445503628769900351e-01
1.400700350175087538e-01,3.682695324288704497e-01
1.500750375187593633e-01,3.915760908169417243e-01
1.600800400200100004e-01,4.144680002881136471e-01
1.700850425212606376e-01,4.369434575664254972e-01
1.800900450225112470e-01,4.590008941668413667e-01
1.900950475237618842e-01,4.806389764120455044e-01
2.001000500250124936e-01,5.018566051539697925e-01
2.101050525262631308e-01,5.226529152023606795e-01
2.201100550275137402e-01,5.430272744632543835e-01
2.301150575287643774e-01,5.629792827907831310e-01
2.401200600300150145e-01,5.825087705562759233e-01
2.501250625312656517e-01,6.016157969391470184e-01
2.601300650325162334e-01,6.203006479445763999e-01
2.701350675337668705e-01,6.385638341534872753e-01
2.801400700350175077e-01,6.564060882108024852e-01
2.901450725362681449e-01,6.738283620584286648e-01
3.001500750375187265e-01,6.908318239198562027e-01
3.101550775387693637e-01,7.074178550436893698e-01
3.201600800400200009e-01,7.235880462138200020e-01
3.301650825412706380e-01,7.393441940343397079e-01
3.401700850425212752e-01,7.546882969976421718e-01
3.501750875437718569e-01,7.696225513444996391e-01
3.601800900450224940e-01,7.841493467252077521e-01
3.701850925462731312e-01,7.982712616711751252e-01
3.801900950475237684e-01,8.119910588865970613e-01
3.901950975487743500e-01,8.253116803700819570e-01
4.002001000500249872e-01,8.382362423763097814e-01
4.102051025512756244e-01,8.507680302279794216e-01
4.202101050525262615e-01,8.629104929884635622e-01
4.302151075537768987e-01,8.746672380057097795e-01
4.402201100550274804e-01,8.860420253380366651e-01
4.502251125562781175e-01,8.970387620725448485e-01
4.602301150575287547e-01,9.076614965469156360e-01
4.702351175587793919e-01,9.179144124853934050e-01
4.802401200600300291e-01,9.278018230597457894e-01
4.902451225612806107e-01,9.373281648859727033e-01
5.002501250625313034e-01,9.464979919674798570e-01
5.102551275637818851e-01,9.553159695953619135e-01
5.202601300650324667e-01,9.637868682163394096e-01
5.302651325662831594e-01,9.719155572787746555e-01
5.402701350675337411e-01,9.797069990670452810e-01
5.502751375687843227e-01,9.871662425343954439e-01
5.602801400700350154e-01,9.942984171441940910e-01
5.702851425712855971e-01,1.001108726729328380e+00
5.802901450725362897e-01,1.007602443379238322e+00
5.902951475737868714e-01,1.013784901363853352e+00
6.003001500750374531e-01,1.019661491103441175e+00
6.103051525762881457e-01,1.025237653193099119e+00
6.203101550775387274e-01,1.030518872490335358e+00
6.303151575787894201e-01,1.035510672273883381e+00
6.403201600800400017e-01,1.040218608481579876e+00
6.503251625812905834e-01,1.044648264034814256e+00
6.603301650825412761e-01,1.048805243256715647e+00
6.703351675837918577e-01,1.052695166390904546e+00
6.803401700850425504e-01,1.056323664227284631e+00
6.903451725862931321e-01,1.059696372840983170e+00
7.003501750875437137e-01,1.062818928450192768e+00
7.103551775887944064e-01,1.065696962398290593e+00
7.203601800900449881e-01,1.068336096265240620e+00
7.303651825912956808e-01,1.070741937112907660e+00
7.403701850925462624e-01,1.072920072868537078e+00
7.503751875937968441e-01,1.074876067850271788e+00
7.603801900950475368e-01,1.076615458438205275e+00
7.703851925962981184e-01,1.078143748894093035e+00
7.803901950975487001e-01,1.079466407332469124e+00
7.903951975987993928e-01,1.080588861845552362e+00
8.004002001000499744e-01,1.081516496783951675e+00
8.104052026013006671e-01,1.082254649194830609e+00
8.204102051025512488e-01,1.082808605418831061e+00
8.304152076038018304e-01,1.083183597846711477e+00
8.404202101050525231e-01,1.083384801836316580e+00
8.504252126063031048e-01,1.083417332790165055e+00
8.604302151075537974e-01,1.083286243393615678e+00
8.704352176088043791e-01,1.082996521013267932e+00
8.804402201100549608e-01,1.082553085254941427e+00
8.904452226113056534e-01,1.081960785680295301e+00
9.004502251125562351e-01,1.081224399680862147e+00
9.104552276138069278e-01,1.080348630508003671e+00
9.204602301150575094e-01,1.079338105457039232e+00
9.304652326163080911e-01,1.078197374203550440e+00
9.404702351175587838e-01,1.076930907289634920e+00
9.504752376188093654e-01,1.075543094757658080e+00
9.604802401200600581e-01,1.074038244928848362e+00
9.704852426213106398e-01,1.072420583323884680e+00
9.804902451225612214e-01,1.070711574085420947e+00
9.904952476238119141e-01,1.069017563135987281e+00
1.000500250125062607e+00,1.067355683232435570e+00
1.010505252626313188e+00,1.065725558430882902e+00
1.020510255127563770e+00,1.064126811192838584e+00
1.030515257628814352e+00,1.062559062560605616e+00
1.040520260130064933e+00,1.061021932330658002e+00
1.050525262631315737e+00,1.059515039224899535e+00
1.060530265132566319e+00,1.058038001059719679e+00
1.070535267633816900e+00,1.056590434912759946e+00
1.080540270135067482e+00,1.055171957287309503e+00
1.090545272636318064e+00,1.053782184274253186e+00
1.100550275137568645e+00,1.052420731711497970e+00
1.110555277638819449e+00,1.051087215340804626e+00
1.120560280140070031e+00,1.049781250961960399e+00
1.130565282641320612e+00,1.048502454584225863e+00
