# M,mandate
0.000000000000000000e+00,-3.054684451115974764e-19
1.000500250125062503e-02,1.976664246002370409e-02
2.001000500250125005e-02,3.934958449788767548e-02
3.001500750375187682e-02,5.874539824555682910e-02
4.002001000500250011e-02,7.795075940176617035e-02
5.002501250625312340e-02,9.696245013103872712e-02
6.003001500750375363e-02,1.157773618261955934e-01
7.003501750875437692e-02,1.343924977297835943e-01
8.004002001000500022e-02,1.528049754091113932e-01
9.004502251125562351e-02,1.710120290811583121e-01
1.000500250125062468e-01,1.890110117857109751e-01
1.100550275137568701e-01,2.067993974027697024e-01
1.200600300150075073e-01,2.243747825108663996e-01
1.300650325162581167e-01,2.417348880842655479e-01
1.400700350175087538e-01,2.588775610273764127e-01
1.500750375187593633e-01,2.758007755432190233e-01
1.600800400200100004e-01,2.925026343362665537e-01
1.700850425212606376e-01,3.089813696482895389e-01
1.800900450225112470e-01,3.252353441231291553e-01
1.900950475237618842e-01,3.412630515044233759e-01
2.001000500250124936e-01,3.570631171647141167e-01
2.101050525262631308e-01,3.726342984645385492e-01
2.201100550275137402e-01,3.879754849426115815e-01
2.301150575287643774e-01,4.030856983406121974e-01
2.401200600300150145e-01,4.179640924611018327e-01
2.501250625312656517e-01,4.326099528604754885e-01
2.601300650325162334e-01,4.470226963774954210e-01
2.701350675337668705e-01,4.612018705030890287e-01
2.801400700350175077e-01,4.751471525911133420e-01
2.901450725362681449e-01,4.888583489133417337e-01
3.001500750375187265e-01,5.023353935620875621e-01
3.101550775387693637e-01,5.155783472037744897e-01
3.201600800400200009e-01,5.285873956857490841e-01
3.301650825412706380e-01,5.413628485020312020e-01
3.401700850425212752e-01,5.539051371207499574e-01
3.501750875437718569e-01,5.662148131770899928e-01
3.601800900450224940e-01,5.782925465378190300e-01
3.701850925462731312e-01,5.901391232420247768e-01
3.801900950475237684e-01,6.017554433199537867e-01
3.901950975487743500e-01,6.131425184986072363e-01
4.002001000500249872e-01,6.243014697981441596e-01
4.102051025512756244e-01,6.352335250229264041e-01
4.202101050525262615e-01,6.459400161540402863e-01
4.302151075537768987e-01,6.564223766499376334e-01
4.402201100550274804e-01,6.666821386585742859e-01
4.502251125562781175e-01,6.767209301478295247e-01
4.602301150575287547e-01,6.865404719607142159e-01
4.702351175587793919e-01,6.961425748005285463e-01
4.802401200600300291e-01,7.055291361517113113e-01
4.902451225612806107e-01,7.147021371437396464e-01
5.002501250625313034e-01,7.236636393619771956e-01
5.102551275637818851e-01,7.324157816132830234e-01
5.202601300650324667e-01,7.409607766516843608e-01
5.302651325662831594e-01,7.493009078700201275e-01
5.402701350675337411e-01,7.574385259633651390e-01
5.502751375687843227e-01,7.653760455706156707e-01
